# IPs Threat Intelligence Feed
#
# Last update: Mon, 13 Jun 2022 17:00:01 +0000
#
# IP	number of (black)lists
#
162.247.74.74	9
107.152.217.2	9
171.25.193.25	9
45.155.204.3	8
103.251.167.21	8
89.234.157.254	8
144.172.73.16	8
185.220.101.4	8
185.220.103.118	8
46.19.137.50	8
185.220.100.254	8
192.42.116.16	8
162.247.74.27	8
116.98.162.249	8
162.247.74.206	7
162.247.74.204	7
91.240.118.105	7
94.102.56.11	7
185.220.102.6	7
185.107.47.215	7
185.220.102.247	7
171.25.193.77	7
171.25.193.78	7
185.107.47.171	7
185.220.101.1	7
45.154.255.140	7
178.20.55.16	7
144.172.73.66	7
185.220.100.253	7
185.220.100.255	7
103.251.167.20	7
198.96.155.3	7
185.220.101.58	7
83.137.158.4	7
185.220.101.22	7
166.70.207.2	7
62.197.136.157	7
185.220.101.10	7
162.247.74.216	7
185.100.86.74	7
171.25.193.20	7
185.56.80.65	7
185.129.62.62	7
45.154.98.173	7
107.189.8.65	7
80.82.77.139	6
128.31.0.13	6
162.247.74.200	6
109.70.100.20	6
31.42.184.136	6
185.220.102.7	6
205.185.115.33	6
92.246.84.133	6
104.248.94.149	6
176.111.173.44	6
68.183.188.159	6
212.102.50.33	6
185.220.101.84	6
103.251.167.10	6
45.154.98.179	6
185.195.71.2	6
92.255.85.69	6
165.227.124.168	6
165.227.25.154	6
185.220.101.8	6
162.247.72.199	6
111.93.214.67	6
199.249.230.87	6
195.254.135.76	6
185.165.168.229	6
209.141.41.103	6
175.207.13.22	6
93.174.89.132	6
185.130.44.108	6
193.106.191.80	6
109.70.100.19	6
185.142.236.34	6
185.220.103.8	6
185.220.102.8	6
109.70.100.33	6
74.201.25.119	6
185.14.97.176	6
107.189.11.228	6
45.154.255.139	6
45.154.255.138	6
91.211.89.107	6
136.144.41.231	6
185.220.102.254	6
185.220.102.253	6
80.67.172.162	6
179.43.142.180	6
92.255.85.70	6
62.102.148.69	6
185.220.101.76	6
104.244.76.13	6
193.239.232.102	6
185.129.61.6	6
185.129.62.63	6
185.220.102.246	6
185.220.101.14	6
185.165.190.34	6
185.220.101.16	6
107.189.12.183	6
195.206.105.217	6
192.42.116.18	6
185.220.101.17	6
185.34.33.2	6
31.7.58.162	6
209.141.57.178	6
62.204.41.56	6
185.243.218.27	6
185.100.87.202	6
209.141.60.126	5
91.211.89.43	5
45.80.64.230	5
218.92.0.221	5
80.82.77.33	5
37.120.160.110	5
162.247.74.201	5
159.65.180.64	5
66.240.236.116	5
185.243.218.41	5
185.243.218.46	5
103.85.160.5	5
94.102.56.10	5
217.79.179.7	5
178.17.171.102	5
139.59.103.136	5
58.57.15.29	5
109.70.100.24	5
109.70.100.26	5
109.70.100.23	5
109.70.100.22	5
154.70.208.66	5
103.215.139.109	5
95.84.240.168	5
120.35.26.129	5
167.99.0.166	5
89.58.41.0	5
2.56.59.145	5
109.70.100.29	5
91.250.242.12	5
195.176.3.20	5
195.176.3.24	5
61.177.173.51	5
61.177.173.50	5
185.36.81.95	5
146.190.239.5	5
185.220.102.242	5
185.220.102.248	5
185.220.102.249	5
203.252.147.199	5
91.132.147.168	5
174.138.24.157	5
104.244.76.170	5
185.220.101.33	5
189.7.129.60	5
185.220.101.9	5
185.220.101.7	5
137.184.214.165	5
2.58.56.105	5
178.128.248.18	5
115.248.153.89	5
89.58.42.239	5
195.144.21.219	5
45.133.1.131	5
185.220.101.46	5
185.220.101.47	5
185.220.101.41	5
185.220.101.42	5
109.70.100.89	5
159.203.102.122	5
185.100.87.133	5
96.56.221.138	5
144.217.86.109	5
178.20.55.18	5
104.244.72.65	5
51.195.166.198	5
185.220.101.66	5
185.220.101.64	5
167.248.133.119	5
46.101.207.32	5
81.17.18.62	5
185.130.47.58	5
209.141.54.195	5
118.27.9.23	5
185.42.170.203	5
221.156.126.1	5
161.35.138.131	5
159.203.177.45	5
54.36.108.162	5
185.220.100.251	5
185.220.100.250	5
185.220.100.252	5
171.251.16.26	5
109.74.204.123	5
139.59.168.22	5
45.141.84.126	5
188.254.0.2	5
45.128.133.242	5
185.220.101.57	5
185.220.101.56	5
14.5.12.34	5
83.137.158.6	5
83.137.158.7	5
83.137.158.9	5
94.230.208.147	5
61.177.172.61	5
36.91.119.221	5
185.220.101.24	5
192.42.116.14	5
91.211.89.207	5
94.102.56.8	5
94.102.56.9	5
223.71.167.165	5
51.89.138.51	5
185.220.102.4	5
107.189.12.7	5
185.220.101.179	5
185.220.101.178	5
2.44.166.148	5
31.24.148.37	5
185.220.101.49	5
185.220.101.40	5
47.181.159.172	5
144.24.162.178	5
71.6.232.9	5
182.59.139.27	5
203.228.4.111	5
189.33.0.103	5
204.85.191.8	5
204.85.191.9	5
187.189.175.4	5
